level,iteration,eval_metric,paramkey,cv_score,best_nrounds
1,1,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=7---subsample=0.9---colsample_bytree=0.7---lambda=0---alpha=1---gamma=2---max_delta_step=0---scale_pos_weight=1---nthread=4,0.154602,728
1,2,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=3---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=20---nthread=4,0.6031608,254
1,3,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=7---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1554024,80
01,0004,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=3---subsample=0.9---colsample_bytree=0.9---lambda=1---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=10---nthread=4,0.597226,82
01,0005,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=7---subsample=0.6---colsample_bytree=0.5---lambda=1---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=10---nthread=4,0.20763,2000
01,0006,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=3---subsample=0.9---colsample_bytree=0.5---lambda=0---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=10---nthread=4,0.3465172,2000
01,0007,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=5---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=10---nthread=4,0.612246,59
01,0008,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=3---subsample=0.4---colsample_bytree=0.5---lambda=0---alpha=0---gamma=0---max_delta_step=0---scale_pos_weight=10---nthread=4,0.349187,122
01,0009,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=7---subsample=0.9---colsample_bytree=0.9---lambda=0---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=1---nthread=4,0.5970924,59
01,0010,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=0---alpha=1---gamma=0---max_delta_step=1---scale_pos_weight=20---nthread=4,0.5599322,766
01,0011,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=5---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=0---max_delta_step=0---scale_pos_weight=20---nthread=4,0.624267,673
01,0012,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=7---subsample=0.4---colsample_bytree=0.5---lambda=0---alpha=1---gamma=0---max_delta_step=1---scale_pos_weight=1---nthread=4,0.6237604,140
01,0013,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=7---subsample=0.9---colsample_bytree=0.7---lambda=1---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1559724,70
01,0014,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=3---subsample=0.4---colsample_bytree=0.7---lambda=0---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=20---nthread=4,0.5997416,97
01,0015,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=5---subsample=0.6---colsample_bytree=0.5---lambda=0---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=1---nthread=4,0.608706,163
01,0016,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=3---subsample=0.6---colsample_bytree=0.9---lambda=1---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=10---nthread=4,0.350299,1204
01,0017,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=7---subsample=0.6---colsample_bytree=0.7---lambda=1---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=1---nthread=4,0.154722,708
01,0018,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=5---subsample=0.4---colsample_bytree=0.7---lambda=1---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1538432,101
01,0019,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.6---colsample_bytree=0.9---lambda=0---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=10---nthread=4,0.6089572,1185
01,0020,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.4---colsample_bytree=0.9---lambda=1---alpha=1---gamma=0---max_delta_step=1---scale_pos_weight=20---nthread=4,0.6036264,861
01,0021,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=3---subsample=0.4---colsample_bytree=0.9---lambda=0---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=20---nthread=4,0.5513074,594
01,0022,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=1---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=20---nthread=4,0.4362238,2000
01,0023,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=3---subsample=0.6---colsample_bytree=0.7---lambda=1---alpha=0---gamma=0---max_delta_step=0---scale_pos_weight=20---nthread=4,0.5512808,1870
01,0024,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=7---subsample=0.6---colsample_bytree=0.7---lambda=0---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=10---nthread=4,0.6191664,45
01,0025,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.6---colsample_bytree=0.9---lambda=0---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=20---nthread=4,0.6007992,1172
01,0026,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=3---subsample=0.4---colsample_bytree=0.9---lambda=1---alpha=1---gamma=2---max_delta_step=1---scale_pos_weight=10---nthread=4,0.3443464,318
01,0027,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=5---subsample=0.9---colsample_bytree=0.5---lambda=1---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1537834,116
01,0028,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=5---subsample=0.4---colsample_bytree=0.7---lambda=0---alpha=1---gamma=0---max_delta_step=1---scale_pos_weight=10---nthread=4,0.3497252,1282
01,0029,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=5---subsample=0.9---colsample_bytree=0.9---lambda=1---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=20---nthread=4,0.6068404,100
01,0030,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=3---subsample=0.6---colsample_bytree=0.5---lambda=1---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1554404,120
01,0031,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.4---colsample_bytree=0.5---lambda=0---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=20---nthread=4,0.6283076,1480
01,0032,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.9---colsample_bytree=0.7---lambda=0---alpha=1---gamma=4---max_delta_step=0---scale_pos_weight=20---nthread=4,0.6244018,1397
01,0033,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=7---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=10---nthread=4,0.2553296,2000
01,0034,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=1---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1537982,99
01,0035,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=5---subsample=0.6---colsample_bytree=0.7---lambda=0---alpha=1---gamma=2---max_delta_step=0---scale_pos_weight=1---nthread=4,0.6216302,910
01,0036,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=3---subsample=0.9---colsample_bytree=0.9---lambda=0---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1531628,450
01,0037,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=3---subsample=0.4---colsample_bytree=0.9---lambda=0---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=10---nthread=4,0.3460998,316
01,0038,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.9---colsample_bytree=0.7---lambda=0---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=1---nthread=4,0.6344778,2000
01,0039,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=3---subsample=0.6---colsample_bytree=0.9---lambda=0---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=1---nthread=4,0.5997688,228
01,0040,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=3---subsample=0.6---colsample_bytree=0.9---lambda=1---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=20---nthread=4,0.5479398,1997
01,0041,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=3---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=20---nthread=4,0.6236236,139
01,0042,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=7---subsample=0.4---colsample_bytree=0.9---lambda=0---alpha=1---gamma=2---max_delta_step=1---scale_pos_weight=10---nthread=4,0.6225906,396
01,0043,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=3---subsample=0.9---colsample_bytree=0.9---lambda=0---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=1---nthread=4,0.61746,182
01,0044,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=7---subsample=0.9---colsample_bytree=0.7---lambda=0---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=20---nthread=4,0.5217526,2000
